"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Mar 13 03:56:29 GMT 2023","Mon Mar 13 03:56:29 GMT 2023","1","Full Process","","","","","transfer ver 2 empty",""
"passed","Mon Mar 13 03:53:36 GMT 2023","Mon Mar 13 03:56:29 GMT 2023","172636","Full Process","","","","","Verify a tx on eth using ckb",""
"passed","Mon Mar 13 03:53:34 GMT 2023","Mon Mar 13 03:53:36 GMT 2023","2268","config chainid is error","","","","","id is not exist on chain, expect Error: forcerelay error: no lightclient cell deployed on ckb",""
"skipped","Mon Mar 13 03:53:36 GMT 2023","Mon Mar 13 03:53:36 GMT 2023","1","To restart the service and check the block synchronization status","","","","","restart relay and verifier service",""
"skipped","Mon Mar 13 03:56:29 GMT 2023","Mon Mar 13 03:56:29 GMT 2023","0","Full Process","","","","","decode witnessArgs",""
