"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue May 16 07:15:26 GMT 2023","Tue May 16 07:15:26 GMT 2023","0","To restart the service and check the block synchronization status","","","","","restart relay and verifier service",""
"skipped","Tue May 16 07:15:34 GMT 2023","Tue May 16 07:15:34 GMT 2023","0","Full Process","forcerelay_getForcerelayCkbTransaction","","","","query in ibc-cell update",""
"skipped","Tue May 16 07:15:24 GMT 2023","Tue May 16 07:15:24 GMT 2023","1","demo","","","","","sadas",""
"skipped","Tue May 16 07:15:24 GMT 2023","Tue May 16 07:15:24 GMT 2023","0","demo","","","","","dasd",""
"skipped","Tue May 16 07:15:24 GMT 2023","Tue May 16 07:15:24 GMT 2023","0","demo","","","","","sad",""
"failed","Tue May 16 07:15:21 GMT 2023","Tue May 16 07:15:23 GMT 2023","1495","config chainid is error","","","","","id is not exist on chain, expect Error: forcerelay error: no lightclient cell deployed on ckb",""
"skipped","Tue May 16 07:15:24 GMT 2023","Tue May 16 07:15:24 GMT 2023","1","demo","","","","","transfer ver 2 empty",""
"passed","Tue May 16 07:15:32 GMT 2023","Tue May 16 07:15:34 GMT 2023","2266","Full Process","forcerelay_getForcerelayCkbTransaction","","","","txHash is in  range[1]",""
"passed","Tue May 16 07:15:23 GMT 2023","Tue May 16 07:15:24 GMT 2023","1346","demo","","","","","dd",""
"passed","Tue May 16 07:15:29 GMT 2023","Tue May 16 07:15:31 GMT 2023","2505","Full Process","forcerelay_getForcerelayCkbTransaction","","","","Verify a tx on eth using ckb=>should succ",""
"broken","Tue May 16 07:15:25 GMT 2023","Tue May 16 07:15:25 GMT 2023","397","demo","","","","","send normal ",""
"passed","Tue May 16 07:15:31 GMT 2023","Tue May 16 07:15:31 GMT 2023","60","Full Process","forcerelay_getForcerelayCkbTransaction","","","","txhash is not in eth=> error: cannot find transaction hash",""
"broken","Tue May 16 07:15:34 GMT 2023","Tue May 16 07:15:34 GMT 2023","92","Full Process","forcerelay_getForcerelayCkbTransaction","","","","txhash is range[1] +1",""
"passed","Tue May 16 07:15:24 GMT 2023","Tue May 16 07:15:24 GMT 2023","487","demo","","","","","query tx",""
"passed","Tue May 16 07:15:31 GMT 2023","Tue May 16 07:15:31 GMT 2023","283","Full Process","forcerelay_getForcerelayCkbTransaction","","","","txhash is in range[0] -1",""
"broken","Tue May 16 07:15:25 GMT 2023","Tue May 16 07:15:26 GMT 2023","1562","demo","","","","","send rand ",""
"passed","Tue May 16 07:15:31 GMT 2023","Tue May 16 07:15:31 GMT 2023","4","Full Process","forcerelay_getForcerelayCkbTransaction","","","","txHash is 0x1234 ",""
"passed","Tue May 16 07:15:31 GMT 2023","Tue May 16 07:15:32 GMT 2023","357","Full Process","forcerelay_getForcerelayCkbTransaction","","","","txHash is in  range[0]",""
"skipped","Tue May 16 07:15:24 GMT 2023","Tue May 16 07:15:24 GMT 2023","0","demo","","","","","decode ",""
"skipped","Tue May 16 07:15:24 GMT 2023","Tue May 16 07:15:24 GMT 2023","1","demo","","","","","decode witnessArgs",""
"skipped","Tue May 16 07:15:24 GMT 2023","Tue May 16 07:15:24 GMT 2023","0","demo","","","","","info",""
"skipped","Tue May 16 07:15:26 GMT 2023","Tue May 16 07:15:26 GMT 2023","0","demo","","","","","cp data",""
"skipped","Tue May 16 07:15:24 GMT 2023","Tue May 16 07:15:24 GMT 2023","0","demo","","","","","sadad",""
"skipped","Tue May 16 07:15:24 GMT 2023","Tue May 16 07:15:24 GMT 2023","1","demo","","","","","sdasd",""
"passed","Tue May 16 07:15:24 GMT 2023","Tue May 16 07:15:25 GMT 2023","16","demo","","","","","get account address",""
"skipped","Tue May 16 07:15:24 GMT 2023","Tue May 16 07:15:24 GMT 2023","1","demo","","","","","dasda",""
