"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Mar 08 07:46:37 GMT 2023","Wed Mar 08 07:46:37 GMT 2023","20","Full Process","","","","","Verify a tx on eth using ckb",""
"passed","Wed Mar 08 07:46:35 GMT 2023","Wed Mar 08 07:46:37 GMT 2023","2067","config chainid is error","","","","","id is not exist on chain, expect Error: forcerelay error: no lightclient cell deployed on ckb",""
"passed","Wed Mar 08 07:46:37 GMT 2023","Wed Mar 08 07:46:37 GMT 2023","14","demo","","","","","dd",""
"skipped","Wed Mar 08 07:46:37 GMT 2023","Wed Mar 08 07:46:37 GMT 2023","0","To restart the service and check the block synchronization status","","","","","restart relay and verifier service",""
