"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Mar 08 09:15:30 GMT 2023","Wed Mar 08 09:15:30 GMT 2023","0","To restart the service and check the block synchronization status","","","","","restart relay and verifier service",""
"passed","Wed Mar 08 09:15:28 GMT 2023","Wed Mar 08 09:15:30 GMT 2023","1853","config chainid is error","","","","","id is not exist on chain, expect Error: forcerelay error: no lightclient cell deployed on ckb",""
"broken","Wed Mar 08 09:15:30 GMT 2023","Wed Mar 08 09:16:29 GMT 2023","59131","Full Process","","","","","Verify a tx on eth using ckb",""
"skipped","Wed Mar 08 09:16:29 GMT 2023","Wed Mar 08 09:16:29 GMT 2023","0","Full Process","","","","","decode witnessArgs",""
"passed","Wed Mar 08 09:15:30 GMT 2023","Wed Mar 08 09:15:30 GMT 2023","11","demo","","","","","dd",""
"skipped","Wed Mar 08 09:16:29 GMT 2023","Wed Mar 08 09:16:29 GMT 2023","0","Full Process","","","","","transfer ver 2 empty",""
