"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Mar 10 08:09:42 GMT 2023","Fri Mar 10 08:09:42 GMT 2023","0","To restart the service and check the block synchronization status","","","","","restart relay and verifier service",""
"passed","Fri Mar 10 08:09:39 GMT 2023","Fri Mar 10 08:09:42 GMT 2023","2468","config chainid is error","","","","","id is not exist on chain, expect Error: forcerelay error: no lightclient cell deployed on ckb",""
"broken","Fri Mar 10 08:09:42 GMT 2023","Fri Mar 10 08:09:42 GMT 2023","406","Full Process","","","","","Verify a tx on eth using ckb",""
