"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 03 07:33:53 GMT 2023","Mon Jul 03 07:33:54 GMT 2023","850","demo","","","","","query tx",""
"passed","Mon Jul 03 07:33:54 GMT 2023","Mon Jul 03 07:33:54 GMT 2023","17","demo","","","","","get account address",""
"skipped","Mon Jul 03 07:33:53 GMT 2023","Mon Jul 03 07:33:53 GMT 2023","0","demo","","","","","sadas",""
"skipped","Mon Jul 03 07:33:54 GMT 2023","Mon Jul 03 07:33:54 GMT 2023","1","demo","","","","","send normal ",""
"skipped","Mon Jul 03 07:33:54 GMT 2023","Mon Jul 03 07:33:54 GMT 2023","0","demo","","","","","cp data",""
"skipped","Mon Jul 03 07:33:53 GMT 2023","Mon Jul 03 07:33:53 GMT 2023","0","demo","","","","","decode witnessArgs",""
"broken","Mon Jul 03 10:20:34 GMT 2023","Mon Jul 03 10:20:34 GMT 2023","1","Full Process","","","","","""before all"" hook in ""Full Process""",""
"skipped","Mon Jul 03 07:33:53 GMT 2023","Mon Jul 03 07:33:53 GMT 2023","0","demo","","","","","sad",""
"skipped","Mon Jul 03 07:33:54 GMT 2023","Mon Jul 03 07:33:54 GMT 2023","1","To restart the service and check the block synchronization status","","","","","restart relay and verifier service",""
"skipped","Mon Jul 03 07:33:53 GMT 2023","Mon Jul 03 07:33:53 GMT 2023","1","demo","","","","","transfer ver 2 empty",""
"skipped","Mon Jul 03 07:33:53 GMT 2023","Mon Jul 03 07:33:53 GMT 2023","1","demo","","","","","sdasd",""
"skipped","Mon Jul 03 07:33:53 GMT 2023","Mon Jul 03 07:33:53 GMT 2023","0","demo","","","","","sadad",""
"skipped","Mon Jul 03 07:33:53 GMT 2023","Mon Jul 03 07:33:53 GMT 2023","0","demo","","","","","dasd",""
"skipped","Mon Jul 03 07:33:53 GMT 2023","Mon Jul 03 07:33:53 GMT 2023","1","config chainid is error","","","","","id is not exist on chain, expect Error: forcerelay error: no lightclient cell deployed on ckb",""
"skipped","Mon Jul 03 07:33:53 GMT 2023","Mon Jul 03 07:33:53 GMT 2023","0","demo","","","","","info",""
"skipped","Mon Jul 03 07:33:53 GMT 2023","Mon Jul 03 07:33:53 GMT 2023","0","demo","","","","","dasda",""
"skipped","Mon Jul 03 07:33:53 GMT 2023","Mon Jul 03 07:33:53 GMT 2023","0","demo","","","","","decode ",""
"skipped","Mon Jul 03 07:33:54 GMT 2023","Mon Jul 03 07:33:54 GMT 2023","0","demo","","","","","send rand ",""
"passed","Mon Jul 03 07:33:53 GMT 2023","Mon Jul 03 07:33:53 GMT 2023","804","demo","","","","","dd",""
