"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 08 08:21:42 GMT 2023","Wed Mar 08 08:21:44 GMT 2023","2234","config chainid is error","","","","","id is not exist on chain, expect Error: forcerelay error: no lightclient cell deployed on ckb",""
"broken","Wed Mar 08 08:21:45 GMT 2023","Wed Mar 08 08:21:55 GMT 2023","10441","Full Process","","","","","Verify a tx on eth using ckb",""
"skipped","Wed Mar 08 08:21:45 GMT 2023","Wed Mar 08 08:21:45 GMT 2023","1","To restart the service and check the block synchronization status","","","","","restart relay and verifier service",""
"passed","Wed Mar 08 08:21:44 GMT 2023","Wed Mar 08 08:21:45 GMT 2023","11","demo","","","","","dd",""
