"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat May 06 04:36:55 GMT 2023","Sat May 06 04:36:55 GMT 2023","0","demo","","","","","sad",""
"broken","Sat May 06 04:36:56 GMT 2023","Sat May 06 04:36:56 GMT 2023","515","demo","","","","","send normal ",""
"passed","Sat May 06 04:36:55 GMT 2023","Sat May 06 04:36:56 GMT 2023","690","demo","","","","","query tx",""
"skipped","Sat May 06 04:36:58 GMT 2023","Sat May 06 04:36:58 GMT 2023","0","To restart the service and check the block synchronization status","","","","","restart relay and verifier service",""
"skipped","Sat May 06 04:36:55 GMT 2023","Sat May 06 04:36:55 GMT 2023","0","demo","","","","","decode ",""
"skipped","Sat May 06 04:36:55 GMT 2023","Sat May 06 04:36:55 GMT 2023","0","demo","","","","","decode witnessArgs",""
"skipped","Sat May 06 04:36:55 GMT 2023","Sat May 06 04:36:55 GMT 2023","0","demo","","","","","transfer ver 2 empty",""
"skipped","Sat May 06 04:36:55 GMT 2023","Sat May 06 04:36:55 GMT 2023","1","demo","","","","","info",""
"passed","Sat May 06 04:36:54 GMT 2023","Sat May 06 04:36:55 GMT 2023","618","demo","","","","","dd",""
"passed","Sat May 06 04:36:56 GMT 2023","Sat May 06 04:36:56 GMT 2023","16","demo","","","","","get account address",""
"skipped","Sat May 06 04:36:55 GMT 2023","Sat May 06 04:36:55 GMT 2023","0","demo","","","","","sdasd",""
"skipped","Sat May 06 04:36:58 GMT 2023","Sat May 06 04:36:58 GMT 2023","1","demo","","","","","cp data",""
"skipped","Sat May 06 04:36:55 GMT 2023","Sat May 06 04:36:55 GMT 2023","0","demo","","","","","dasd",""
"skipped","Sat May 06 04:36:55 GMT 2023","Sat May 06 04:36:55 GMT 2023","1","demo","","","","","dasda",""
"broken","Sat May 06 04:36:56 GMT 2023","Sat May 06 04:36:58 GMT 2023","1972","demo","","","","","send rand ",""
"skipped","Sat May 06 04:36:55 GMT 2023","Sat May 06 04:36:55 GMT 2023","0","demo","","","","","sadas",""
"skipped","Sat May 06 04:36:55 GMT 2023","Sat May 06 04:36:55 GMT 2023","0","demo","","","","","sadad",""
"passed","Sat May 06 04:36:52 GMT 2023","Sat May 06 04:36:54 GMT 2023","2213","config chainid is error","","","","","id is not exist on chain, expect Error: forcerelay error: no lightclient cell deployed on ckb",""
