"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri May 12 11:09:58 GMT 2023","Fri May 12 11:09:58 GMT 2023","0","demo","","","","","decode witnessArgs",""
"skipped","Fri May 12 11:10:02 GMT 2023","Fri May 12 11:10:02 GMT 2023","0","demo","","","","","cp data",""
"skipped","Fri May 12 11:09:58 GMT 2023","Fri May 12 11:09:58 GMT 2023","0","demo","","","","","sadad",""
"skipped","Fri May 12 11:09:58 GMT 2023","Fri May 12 11:09:58 GMT 2023","0","demo","","","","","sdasd",""
"broken","Fri May 12 11:10:00 GMT 2023","Fri May 12 11:10:02 GMT 2023","2304","demo","","","","","send rand ",""
"skipped","Fri May 12 11:10:02 GMT 2023","Fri May 12 11:10:02 GMT 2023","0","To restart the service and check the block synchronization status","","","","","restart relay and verifier service",""
"skipped","Fri May 12 11:09:58 GMT 2023","Fri May 12 11:09:58 GMT 2023","1","demo","","","","","info",""
"skipped","Fri May 12 11:09:58 GMT 2023","Fri May 12 11:09:58 GMT 2023","1","demo","","","","","dasda",""
"broken","Fri May 12 13:56:42 GMT 2023","Fri May 12 13:56:42 GMT 2023","1","Full Process","","","","","""before all"" hook in ""Full Process""",""
"skipped","Fri May 12 11:09:58 GMT 2023","Fri May 12 11:09:58 GMT 2023","0","demo","","","","","dasd",""
"skipped","Fri May 12 11:09:58 GMT 2023","Fri May 12 11:09:58 GMT 2023","0","demo","","","","","decode ",""
"broken","Fri May 12 11:09:59 GMT 2023","Fri May 12 11:10:00 GMT 2023","701","demo","","","","","send normal ",""
"broken","Fri May 12 11:09:47 GMT 2023","Fri May 12 11:09:57 GMT 2023","10028","config chainid is error","","","","","id is not exist on chain, expect Error: forcerelay error: no lightclient cell deployed on ckb",""
"skipped","Fri May 12 11:09:58 GMT 2023","Fri May 12 11:09:58 GMT 2023","0","demo","","","","","sadas",""
"passed","Fri May 12 11:09:59 GMT 2023","Fri May 12 11:09:59 GMT 2023","22","demo","","","","","get account address",""
"passed","Fri May 12 11:09:57 GMT 2023","Fri May 12 11:09:58 GMT 2023","1077","demo","","","","","dd",""
"skipped","Fri May 12 11:09:58 GMT 2023","Fri May 12 11:09:58 GMT 2023","0","demo","","","","","sad",""
"passed","Fri May 12 11:09:58 GMT 2023","Fri May 12 11:09:59 GMT 2023","824","demo","","","","","query tx",""
"skipped","Fri May 12 11:09:58 GMT 2023","Fri May 12 11:09:58 GMT 2023","1","demo","","","","","transfer ver 2 empty",""
