"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Mar 08 08:11:50 GMT 2023","Wed Mar 08 08:11:50 GMT 2023","1","Full Process","","","","","transfer ver 2 empty",""
"passed","Wed Mar 08 08:09:32 GMT 2023","Wed Mar 08 08:09:32 GMT 2023","16","demo","","","","","dd",""
"broken","Wed Mar 08 08:09:32 GMT 2023","Wed Mar 08 08:11:50 GMT 2023","138532","Full Process","","","","","Verify a tx on eth using ckb",""
"skipped","Wed Mar 08 08:09:32 GMT 2023","Wed Mar 08 08:09:32 GMT 2023","0","To restart the service and check the block synchronization status","","","","","restart relay and verifier service",""
"skipped","Wed Mar 08 08:11:50 GMT 2023","Wed Mar 08 08:11:50 GMT 2023","0","Full Process","","","","","decode witnessArgs",""
"passed","Wed Mar 08 08:09:29 GMT 2023","Wed Mar 08 08:09:32 GMT 2023","2224","config chainid is error","","","","","id is not exist on chain, expect Error: forcerelay error: no lightclient cell deployed on ckb",""
