"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Mar 09 06:56:53 GMT 2023","Thu Mar 09 06:56:53 GMT 2023","1","To restart the service and check the block synchronization status","","","","","restart relay and verifier service",""
"passed","Thu Mar 09 06:56:51 GMT 2023","Thu Mar 09 06:56:53 GMT 2023","1968","config chainid is error","","","","","id is not exist on chain, expect Error: forcerelay error: no lightclient cell deployed on ckb",""
"passed","Thu Mar 09 06:56:53 GMT 2023","Thu Mar 09 06:56:53 GMT 2023","20","demo","","","","","dd",""
