"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 09 07:38:25 GMT 2023","Thu Mar 09 07:38:27 GMT 2023","1941","config chainid is error","","","","","id is not exist on chain, expect Error: forcerelay error: no lightclient cell deployed on ckb",""
"skipped","Thu Mar 09 07:39:51 GMT 2023","Thu Mar 09 07:39:51 GMT 2023","1","Full Process","","","","","transfer ver 2 empty",""
"skipped","Thu Mar 09 07:38:27 GMT 2023","Thu Mar 09 07:38:27 GMT 2023","0","To restart the service and check the block synchronization status","","","","","restart relay and verifier service",""
"passed","Thu Mar 09 07:38:27 GMT 2023","Thu Mar 09 07:39:51 GMT 2023","84447","Full Process","","","","","Verify a tx on eth using ckb",""
"skipped","Thu Mar 09 07:39:51 GMT 2023","Thu Mar 09 07:39:51 GMT 2023","0","Full Process","","","","","decode witnessArgs",""
