"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat May 06 08:52:30 GMT 2023","Sat May 06 08:52:30 GMT 2023","1","demo","","","","","sdasd",""
"passed","Sat May 06 08:52:31 GMT 2023","Sat May 06 08:52:31 GMT 2023","16","demo","","","","","get account address",""
"skipped","Sat May 06 08:52:30 GMT 2023","Sat May 06 08:52:30 GMT 2023","0","demo","","","","","sadad",""
"broken","Sat May 06 11:39:14 GMT 2023","Sat May 06 11:39:14 GMT 2023","0","Full Process","","","","","""before all"" hook in ""Full Process""",""
"broken","Sat May 06 08:52:31 GMT 2023","Sat May 06 08:52:31 GMT 2023","525","demo","","","","","send normal ",""
"skipped","Sat May 06 08:52:30 GMT 2023","Sat May 06 08:52:30 GMT 2023","0","demo","","","","","transfer ver 2 empty",""
"skipped","Sat May 06 08:52:34 GMT 2023","Sat May 06 08:52:34 GMT 2023","0","To restart the service and check the block synchronization status","","","","","restart relay and verifier service",""
"passed","Sat May 06 08:52:29 GMT 2023","Sat May 06 08:52:30 GMT 2023","711","demo","","","","","dd",""
"skipped","Sat May 06 08:52:30 GMT 2023","Sat May 06 08:52:30 GMT 2023","0","demo","","","","","info",""
"skipped","Sat May 06 08:52:30 GMT 2023","Sat May 06 08:52:30 GMT 2023","0","demo","","","","","decode ",""
"skipped","Sat May 06 08:52:30 GMT 2023","Sat May 06 08:52:30 GMT 2023","0","demo","","","","","decode witnessArgs",""
"passed","Sat May 06 08:52:30 GMT 2023","Sat May 06 08:52:31 GMT 2023","697","demo","","","","","query tx",""
"skipped","Sat May 06 08:52:30 GMT 2023","Sat May 06 08:52:30 GMT 2023","0","demo","","","","","dasd",""
"broken","Sat May 06 08:52:31 GMT 2023","Sat May 06 08:52:34 GMT 2023","2510","demo","","","","","send rand ",""
"skipped","Sat May 06 08:52:30 GMT 2023","Sat May 06 08:52:30 GMT 2023","0","demo","","","","","sad",""
"skipped","Sat May 06 08:52:34 GMT 2023","Sat May 06 08:52:34 GMT 2023","0","demo","","","","","cp data",""
"skipped","Sat May 06 08:52:30 GMT 2023","Sat May 06 08:52:30 GMT 2023","0","demo","","","","","sadas",""
"skipped","Sat May 06 08:52:30 GMT 2023","Sat May 06 08:52:30 GMT 2023","0","demo","","","","","dasda",""
"passed","Sat May 06 08:52:27 GMT 2023","Sat May 06 08:52:29 GMT 2023","2079","config chainid is error","","","","","id is not exist on chain, expect Error: forcerelay error: no lightclient cell deployed on ckb",""
