"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Mar 08 09:56:22 GMT 2023","Wed Mar 08 09:57:09 GMT 2023","46500","Full Process","","","","","Verify a tx on eth using ckb",""
"skipped","Wed Mar 08 09:57:09 GMT 2023","Wed Mar 08 09:57:09 GMT 2023","0","Full Process","","","","","transfer ver 2 empty",""
"passed","Wed Mar 08 09:56:20 GMT 2023","Wed Mar 08 09:56:22 GMT 2023","2068","config chainid is error","","","","","id is not exist on chain, expect Error: forcerelay error: no lightclient cell deployed on ckb",""
"skipped","Wed Mar 08 09:57:09 GMT 2023","Wed Mar 08 09:57:09 GMT 2023","1","Full Process","","","","","decode witnessArgs",""
"skipped","Wed Mar 08 09:56:22 GMT 2023","Wed Mar 08 09:56:22 GMT 2023","1","To restart the service and check the block synchronization status","","","","","restart relay and verifier service",""
"passed","Wed Mar 08 09:56:22 GMT 2023","Wed Mar 08 09:56:22 GMT 2023","15","demo","","","","","dd",""
