"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Mar 17 08:28:02 GMT 2023","Fri Mar 17 08:28:02 GMT 2023","0","demo","","","","","sdasd",""
"passed","Fri Mar 17 08:28:03 GMT 2023","Fri Mar 17 08:28:03 GMT 2023","18","demo","","","","","get account address",""
"skipped","Fri Mar 17 08:28:02 GMT 2023","Fri Mar 17 08:28:02 GMT 2023","0","demo","","","","","dasd",""
"passed","Fri Mar 17 08:28:00 GMT 2023","Fri Mar 17 08:28:02 GMT 2023","1266","demo","","","","","dd",""
"skipped","Fri Mar 17 08:28:02 GMT 2023","Fri Mar 17 08:28:02 GMT 2023","0","demo","","","","","sadad",""
"skipped","Fri Mar 17 08:28:02 GMT 2023","Fri Mar 17 08:28:02 GMT 2023","1","demo","","","","","sadas",""
"skipped","Fri Mar 17 08:28:02 GMT 2023","Fri Mar 17 08:28:02 GMT 2023","1","demo","","","","","sad",""
"skipped","Fri Mar 17 08:28:02 GMT 2023","Fri Mar 17 08:28:02 GMT 2023","0","demo","","","","","decode ",""
"passed","Fri Mar 17 08:28:02 GMT 2023","Fri Mar 17 08:28:03 GMT 2023","1054","demo","","","","","query tx",""
"skipped","Fri Mar 17 08:28:02 GMT 2023","Fri Mar 17 08:28:02 GMT 2023","0","demo","","","","","info",""
"skipped","Fri Mar 17 08:28:07 GMT 2023","Fri Mar 17 08:28:07 GMT 2023","0","To restart the service and check the block synchronization status","","","","","restart relay and verifier service",""
"skipped","Fri Mar 17 08:28:02 GMT 2023","Fri Mar 17 08:28:02 GMT 2023","0","demo","","","","","transfer ver 2 empty",""
"skipped","Fri Mar 17 08:28:02 GMT 2023","Fri Mar 17 08:28:02 GMT 2023","0","demo","","","","","dasda",""
"skipped","Fri Mar 17 08:28:02 GMT 2023","Fri Mar 17 08:28:02 GMT 2023","0","demo","","","","","decode witnessArgs",""
"passed","Fri Mar 17 08:28:03 GMT 2023","Fri Mar 17 08:28:04 GMT 2023","1505","demo","","","","","send normal ",""
"passed","Fri Mar 17 08:28:04 GMT 2023","Fri Mar 17 08:28:07 GMT 2023","2814","demo","","","","","send rand ",""
"passed","Fri Mar 17 08:27:57 GMT 2023","Fri Mar 17 08:28:00 GMT 2023","3713","config chainid is error","","","","","id is not exist on chain, expect Error: forcerelay error: no lightclient cell deployed on ckb",""
"skipped","Fri Mar 17 08:28:07 GMT 2023","Fri Mar 17 08:28:07 GMT 2023","0","demo","","","","","cp data",""
