"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 07 05:38:35 GMT 2023","Tue Mar 07 05:38:40 GMT 2023","5291","Full Process","","","","","Verify a tx on eth using ckb",""
"passed","Tue Mar 07 05:38:35 GMT 2023","Tue Mar 07 05:38:35 GMT 2023","15","demo","","","","","dd",""
"skipped","Tue Mar 07 05:38:40 GMT 2023","Tue Mar 07 05:38:40 GMT 2023","0","Full Process","","","","","transfer ver 2 empty",""
"passed","Tue Mar 07 05:38:32 GMT 2023","Tue Mar 07 05:38:35 GMT 2023","2180","config chainid is error","","","","","id is not exist on chain, expect Error: forcerelay error: no lightclient cell deployed on ckb",""
"skipped","Tue Mar 07 05:38:40 GMT 2023","Tue Mar 07 05:38:40 GMT 2023","0","Full Process","","","","","decode witnessArgs",""
"broken","Tue Mar 07 05:38:35 GMT 2023","Tue Mar 07 05:38:35 GMT 2023","40","To restart the service and check the block synchronization status","","","","","restart relay and verifier service",""
