"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 06 08:59:34 GMT 2023","Sat May 06 08:59:35 GMT 2023","876","demo","","","","","dd",""
"skipped","Sat May 06 08:59:35 GMT 2023","Sat May 06 08:59:35 GMT 2023","0","demo","","","","","transfer ver 2 empty",""
"skipped","Sat May 06 08:59:35 GMT 2023","Sat May 06 08:59:35 GMT 2023","0","demo","","","","","decode ",""
"skipped","Sat May 06 08:59:35 GMT 2023","Sat May 06 08:59:35 GMT 2023","1","demo","","","","","dasd",""
"skipped","Sat May 06 08:59:38 GMT 2023","Sat May 06 08:59:38 GMT 2023","1","demo","","","","","cp data",""
"skipped","Sat May 06 08:59:35 GMT 2023","Sat May 06 08:59:35 GMT 2023","0","demo","","","","","sad",""
"skipped","Sat May 06 08:59:35 GMT 2023","Sat May 06 08:59:35 GMT 2023","0","demo","","","","","sadas",""
"skipped","Sat May 06 08:59:35 GMT 2023","Sat May 06 08:59:35 GMT 2023","0","demo","","","","","decode witnessArgs",""
"broken","Sat May 06 11:46:18 GMT 2023","Sat May 06 11:46:18 GMT 2023","1","Full Process","","","","","""before all"" hook in ""Full Process""",""
"skipped","Sat May 06 08:59:35 GMT 2023","Sat May 06 08:59:35 GMT 2023","1","demo","","","","","dasda",""
"skipped","Sat May 06 08:59:35 GMT 2023","Sat May 06 08:59:35 GMT 2023","0","demo","","","","","sadad",""
"skipped","Sat May 06 08:59:35 GMT 2023","Sat May 06 08:59:35 GMT 2023","1","demo","","","","","info",""
"passed","Sat May 06 08:59:36 GMT 2023","Sat May 06 08:59:36 GMT 2023","15","demo","","","","","get account address",""
"skipped","Sat May 06 08:59:38 GMT 2023","Sat May 06 08:59:38 GMT 2023","0","To restart the service and check the block synchronization status","","","","","restart relay and verifier service",""
"broken","Sat May 06 08:59:36 GMT 2023","Sat May 06 08:59:36 GMT 2023","559","demo","","","","","send normal ",""
"passed","Sat May 06 08:59:35 GMT 2023","Sat May 06 08:59:36 GMT 2023","657","demo","","","","","query tx",""
"broken","Sat May 06 08:59:36 GMT 2023","Sat May 06 08:59:38 GMT 2023","1960","demo","","","","","send rand ",""
"skipped","Sat May 06 08:59:35 GMT 2023","Sat May 06 08:59:35 GMT 2023","1","demo","","","","","sdasd",""
"passed","Sat May 06 08:59:32 GMT 2023","Sat May 06 08:59:34 GMT 2023","2264","config chainid is error","","","","","id is not exist on chain, expect Error: forcerelay error: no lightclient cell deployed on ckb",""
