"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 08 11:58:45 GMT 2023","Wed Mar 08 11:58:48 GMT 2023","3138","config chainid is error","","","","","id is not exist on chain, expect Error: forcerelay error: no lightclient cell deployed on ckb",""
"passed","Wed Mar 08 11:58:48 GMT 2023","Wed Mar 08 11:58:48 GMT 2023","13","demo","","","","","dd",""
"skipped","Wed Mar 08 11:58:48 GMT 2023","Wed Mar 08 11:58:48 GMT 2023","1","To restart the service and check the block synchronization status","","","","","restart relay and verifier service",""
"broken","Wed Mar 08 11:58:48 GMT 2023","Wed Mar 08 14:45:28 GMT 2023","10000021","Full Process","","","","","Verify a tx on eth using ckb",""
