"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 09 07:15:00 GMT 2023","Thu Mar 09 07:15:00 GMT 2023","16","demo","","","","","dd",""
"broken","Thu Mar 09 07:15:00 GMT 2023","Thu Mar 09 07:17:14 GMT 2023","134595","Full Process","","","","","Verify a tx on eth using ckb",""
"passed","Thu Mar 09 07:14:57 GMT 2023","Thu Mar 09 07:15:00 GMT 2023","2511","config chainid is error","","","","","id is not exist on chain, expect Error: forcerelay error: no lightclient cell deployed on ckb",""
"skipped","Thu Mar 09 07:17:14 GMT 2023","Thu Mar 09 07:17:14 GMT 2023","1","Full Process","","","","","transfer ver 2 empty",""
"skipped","Thu Mar 09 07:15:00 GMT 2023","Thu Mar 09 07:15:00 GMT 2023","1","To restart the service and check the block synchronization status","","","","","restart relay and verifier service",""
"skipped","Thu Mar 09 07:17:14 GMT 2023","Thu Mar 09 07:17:14 GMT 2023","0","Full Process","","","","","decode witnessArgs",""
