"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 08 10:09:20 GMT 2023","Wed Mar 08 10:09:22 GMT 2023","2289","config chainid is error","","","","","id is not exist on chain, expect Error: forcerelay error: no lightclient cell deployed on ckb",""
"passed","Wed Mar 08 10:09:22 GMT 2023","Wed Mar 08 10:09:22 GMT 2023","19","demo","","","","","dd",""
"broken","Wed Mar 08 10:09:22 GMT 2023","Wed Mar 08 10:10:19 GMT 2023","56685","Full Process","","","","","Verify a tx on eth using ckb",""
"skipped","Wed Mar 08 10:09:22 GMT 2023","Wed Mar 08 10:09:22 GMT 2023","1","To restart the service and check the block synchronization status","","","","","restart relay and verifier service",""
